date,day,meal,menu,expected_students,holiday,special_event,semester_status,previous_demand,actual_demand
2024-02-07,Wednesday,Lunch,South Indian Meals,582,0,0,Regular,416,481
2024-02-08,Thursday,Breakfast,Upma,467,0,0,Regular,481,312
2024-02-09,Friday,Dinner,Parotta,528,0,0,Regular,312,397
2024-02-10,Saturday,Breakfast,Poori,263,0,0,Regular,397,93
2024-02-11,Sunday,Lunch,Biryani,84,1,0,Regular,93,49
2024-02-12,Monday,Lunch,Chapati,434,0,0,Regular,49,337
2024-02-13,Tuesday,Breakfast,Poori,473,0,0,Regular,337,340
2024-02-14,Wednesday,Breakfast,Dosa,542,0,0,Regular,340,313
2024-02-15,Thursday,Breakfast,Poori,545,0,0,Regular,313,375
2024-02-16,Friday,Lunch,Special Meals,587,0,0,Regular,375,513
2024-02-17,Saturday,Lunch,Special Meals,345,0,0,Regular,513,308
2024-02-18,Sunday,Dinner,Dosa,90,1,0,Regular,308,2
2024-02-19,Monday,Lunch,Variety Rice,600,0,0,Regular,2,389
2024-02-20,Tuesday,Dinner,Idli,519,0,0,Regular,389,343
2024-02-21,Wednesday,Breakfast,Pongal,572,0,0,Regular,343,361
2024-02-22,Thursday,Lunch,Biryani,526,0,0,Regular,361,526
2024-02-23,Friday,Lunch,Chapati,431,0,0,Regular,526,431
2024-02-24,Saturday,Breakfast,Pongal,250,0,0,Regular,431,77
2024-02-25,Sunday,Breakfast,Poori,109,1,0,Regular,77,0
2024-02-26,Monday,Breakfast,Dosa,454,0,0,Regular,0,269
2024-02-27,Tuesday,Dinner,Dosa,419,0,0,Regular,269,321
2024-02-28,Wednesday,Dinner,Chapati,510,0,0,Regular,321,390
2024-02-29,Thursday,Lunch,Chapati,493,0,0,Regular,390,425
2024-03-01,Friday,Dinner,Chapati,450,0,0,Regular,425,337
2024-03-02,Saturday,Dinner,Idli,340,0,0,Regular,337,188
2024-03-03,Sunday,Lunch,Chapati,148,1,0,Regular,188,27
2024-03-04,Monday,Dinner,Variety Rice,404,0,0,Regular,27,297
2024-03-05,Tuesday,Lunch,South Indian Meals,476,0,0,Regular,297,431
2024-03-06,Wednesday,Lunch,Biryani,433,0,0,Regular,431,425
2024-03-07,Thursday,Breakfast,Pongal,473,0,0,Regular,425,342
2024-03-08,Friday,Dinner,Variety Rice,550,0,0,Regular,342,402
2024-03-09,Saturday,Dinner,Idli,260,0,0,Regular,402,142
2024-03-10,Sunday,Dinner,Idli,110,1,0,Regular,142,0
2024-03-11,Monday,Lunch,Special Meals,445,0,0,Regular,0,373
2024-03-12,Tuesday,Lunch,South Indian Meals,462,0,0,Regular,373,384
2024-03-13,Wednesday,Breakfast,Poori,581,0,0,Regular,384,429
2024-03-14,Thursday,Breakfast,Idli,494,0,0,Regular,429,357
2024-03-15,Friday,Breakfast,Idli,430,0,0,Regular,357,331
2024-03-16,Saturday,Breakfast,Pongal,362,0,0,Regular,331,166
2024-03-17,Sunday,Dinner,Idli,63,1,1,Regular,166,0
2024-03-18,Monday,Breakfast,Dosa,473,0,1,Regular,0,345
2024-03-19,Tuesday,Lunch,Variety Rice,412,0,1,Regular,345,391
2024-03-20,Wednesday,Breakfast,Poori,417,0,0,Regular,391,310
2024-03-21,Thursday,Dinner,Chapati,431,0,0,Regular,310,311
2024-03-22,Friday,Lunch,Chapati,546,0,1,Regular,311,507
2024-03-23,Saturday,Breakfast,Poori,251,0,0,Regular,507,138
2024-03-24,Sunday,Dinner,Dosa,119,1,0,Regular,138,0
2024-03-25,Monday,Dinner,Variety Rice,515,0,0,Regular,0,344
2024-03-26,Tuesday,Lunch,South Indian Meals,568,0,0,Regular,344,495
2024-03-27,Wednesday,Lunch,South Indian Meals,426,0,0,Regular,495,377
2024-03-28,Thursday,Breakfast,Upma,513,0,0,Regular,377,386
2024-03-29,Friday,Breakfast,Upma,406,0,0,Regular,386,294
2024-03-30,Saturday,Lunch,Special Meals,320,0,0,Regular,294,262
2024-03-31,Sunday,Lunch,Biryani,91,1,0,Regular,262,78
2024-04-01,Monday,Lunch,Variety Rice,260,0,0,Exam Period,78,214
2024-04-02,Tuesday,Dinner,Idli,412,0,0,Exam Period,214,242
2024-04-03,Wednesday,Lunch,Variety Rice,298,0,0,Exam Period,242,250
2024-04-04,Thursday,Breakfast,Upma,363,0,0,Exam Period,250,197
2024-04-05,Friday,Dinner,Chapati,284,0,0,Exam Period,197,195
2024-04-06,Saturday,Lunch,Special Meals,437,0,0,Exam Period,195,314
2024-04-07,Sunday,Lunch,South Indian Meals,241,1,0,Exam Period,314,136
2024-04-08,Monday,Lunch,Biryani,261,0,0,Exam Period,136,261
2024-04-09,Tuesday,Lunch,Variety Rice,420,0,0,Exam Period,261,333
2024-04-10,Wednesday,Lunch,Chapati,407,0,0,Exam Period,333,328
2024-04-11,Thursday,Lunch,Biryani,296,0,0,Exam Period,328,296
2024-04-12,Friday,Dinner,Parotta,360,0,0,Exam Period,296,256
2024-04-13,Saturday,Dinner,Chapati,428,0,0,Exam Period,256,198
2024-04-14,Sunday,Lunch,Special Meals,224,1,1,Exam Period,198,101
2024-04-15,Monday,Lunch,Variety Rice,450,0,0,Exam Period,101,310
2024-04-16,Tuesday,Lunch,Variety Rice,441,0,0,Exam Period,310,344
2024-04-17,Wednesday,Lunch,Chapati,345,0,1,Exam Period,344,288
2024-04-18,Thursday,Breakfast,Pongal,351,0,0,Exam Period,288,191
2024-04-19,Friday,Lunch,South Indian Meals,406,0,0,Exam Period,191,306
2024-04-20,Saturday,Lunch,Chapati,416,0,0,Exam Period,306,261
2024-04-21,Sunday,Breakfast,Poori,238,1,0,Exam Period,261,43
2024-04-22,Monday,Breakfast,Pongal,316,0,0,Exam Period,43,145
2024-04-23,Tuesday,Lunch,Variety Rice,277,0,0,Exam Period,145,247
2024-04-24,Wednesday,Breakfast,Idli,346,0,0,Exam Period,247,167
2024-04-25,Thursday,Lunch,Variety Rice,263,0,0,Exam Period,167,235
2024-04-26,Friday,Breakfast,Upma,329,0,0,Exam Period,235,204
2024-04-27,Saturday,Breakfast,Pongal,347,0,0,Exam Period,204,156
2024-04-28,Sunday,Lunch,Special Meals,173,1,0,Exam Period,156,87
2024-04-29,Monday,Breakfast,Upma,364,0,0,Exam Period,87,165
2024-04-30,Tuesday,Dinner,Chapati,305,0,0,Exam Period,165,178
2024-05-01,Wednesday,Dinner,Parotta,164,0,1,Semester Holiday,178,164
2024-05-02,Thursday,Dinner,Idli,189,0,0,Semester Holiday,164,111
2024-05-03,Friday,Dinner,Dosa,129,0,0,Semester Holiday,111,108
2024-05-04,Saturday,Breakfast,Poori,135,0,0,Semester Holiday,108,16
2024-05-05,Sunday,Lunch,Variety Rice,101,1,0,Semester Holiday,16,7
2024-05-06,Monday,Breakfast,Poori,99,0,0,Semester Holiday,7,39
2024-05-07,Tuesday,Breakfast,Pongal,116,0,0,Semester Holiday,39,0
2024-05-08,Wednesday,Dinner,Idli,86,0,0,Semester Holiday,0,2
2024-05-09,Thursday,Lunch,Chapati,165,0,0,Semester Holiday,2,106
2024-05-10,Friday,Breakfast,Dosa,83,1,0,Semester Holiday,106,58
2024-05-11,Saturday,Breakfast,Idli,119,0,0,Semester Holiday,58,0
2024-05-12,Sunday,Breakfast,Poori,54,1,0,Semester Holiday,0,0
2024-05-13,Monday,Breakfast,Upma,154,0,0,Semester Holiday,0,33
2024-05-14,Tuesday,Breakfast,Pongal,172,0,0,Semester Holiday,33,25
2024-05-15,Wednesday,Lunch,Chapati,186,0,0,Semester Holiday,25,123
2024-05-16,Thursday,Lunch,Biryani,142,0,0,Semester Holiday,123,142
2024-05-17,Friday,Dinner,Chapati,200,0,0,Semester Holiday,142,124
2024-05-18,Saturday,Dinner,Parotta,102,0,0,Semester Holiday,124,45
2024-05-19,Sunday,Dinner,Idli,102,1,0,Semester Holiday,45,0
2024-05-20,Monday,Dinner,Chapati,193,0,1,Semester Holiday,0,130
2024-05-21,Tuesday,Dinner,Idli,88,0,0,Semester Holiday,130,53
2024-05-22,Wednesday,Lunch,Special Meals,83,0,0,Semester Holiday,53,83
2024-05-23,Thursday,Lunch,Biryani,163,0,0,Semester Holiday,83,163
2024-05-24,Friday,Lunch,South Indian Meals,200,0,0,Semester Holiday,163,177
2024-05-25,Saturday,Breakfast,Upma,197,0,0,Semester Holiday,177,47
2024-05-26,Sunday,Breakfast,Poori,129,1,0,Semester Holiday,47,0
2024-05-27,Monday,Breakfast,Dosa,123,0,0,Semester Holiday,0,49
2024-05-28,Tuesday,Breakfast,Idli,114,0,0,Semester Holiday,49,24
2024-05-29,Wednesday,Lunch,Special Meals,110,0,0,Semester Holiday,24,110
2024-05-30,Thursday,Dinner,Idli,175,0,1,Semester Holiday,110,119
2024-05-31,Friday,Lunch,Biryani,190,0,0,Semester Holiday,119,190
2024-06-01,Saturday,Breakfast,Dosa,89,0,0,Semester Holiday,190,5
2024-06-02,Sunday,Lunch,South Indian Meals,51,1,1,Semester Holiday,5,2
2024-06-03,Monday,Breakfast,Idli,152,0,0,Semester Holiday,2,49
2024-06-04,Tuesday,Breakfast,Idli,97,0,0,Semester Holiday,49,7
2024-06-05,Wednesday,Breakfast,Poori,189,0,0,Semester Holiday,7,91
2024-06-06,Thursday,Breakfast,Poori,104,0,0,Semester Holiday,91,60
2024-06-07,Friday,Dinner,Parotta,158,0,0,Semester Holiday,60,111
2024-06-08,Saturday,Breakfast,Upma,92,0,0,Semester Holiday,111,0
2024-06-09,Sunday,Dinner,Variety Rice,67,1,1,Semester Holiday,0,0
2024-06-10,Monday,Dinner,Parotta,99,0,0,Semester Holiday,0,55
2024-06-11,Tuesday,Dinner,Idli,118,0,0,Semester Holiday,55,68
2024-06-12,Wednesday,Breakfast,Upma,190,0,0,Semester Holiday,68,26
2024-06-13,Thursday,Lunch,South Indian Meals,158,0,0,Semester Holiday,26,138
2024-06-14,Friday,Dinner,Parotta,157,0,0,Semester Holiday,138,100
2024-06-15,Saturday,Dinner,Variety Rice,164,0,0,Semester Holiday,100,29
2024-06-16,Sunday,Breakfast,Idli,112,1,0,Semester Holiday,29,0
2024-06-17,Monday,Lunch,Biryani,148,0,0,Semester Holiday,0,148
2024-06-18,Tuesday,Breakfast,Upma,183,0,0,Semester Holiday,148,70
2024-06-19,Wednesday,Dinner,Variety Rice,146,0,0,Semester Holiday,70,90
2024-06-20,Thursday,Breakfast,Poori,87,0,0,Semester Holiday,90,48
2024-06-21,Friday,Lunch,Special Meals,172,0,0,Semester Holiday,48,172
2024-06-22,Saturday,Dinner,Parotta,88,0,0,Semester Holiday,172,17
2024-06-23,Sunday,Lunch,Chapati,46,1,0,Semester Holiday,17,0
2024-06-24,Monday,Lunch,Special Meals,179,0,0,Semester Holiday,0,179
2024-06-25,Tuesday,Breakfast,Poori,143,0,0,Semester Holiday,179,69
2024-06-26,Wednesday,Breakfast,Dosa,93,0,0,Semester Holiday,69,33
2024-06-27,Thursday,Dinner,Parotta,135,0,0,Semester Holiday,33,74
2024-06-28,Friday,Dinner,Dosa,125,0,1,Semester Holiday,74,125
2024-06-29,Saturday,Breakfast,Poori,170,0,0,Semester Holiday,125,10
2024-06-30,Sunday,Lunch,South Indian Meals,49,1,0,Semester Holiday,10,0
2024-07-01,Monday,Dinner,Parotta,587,0,0,Regular,0,448
2024-07-02,Tuesday,Lunch,Variety Rice,531,0,0,Regular,448,513
2024-07-03,Wednesday,Breakfast,Pongal,481,0,0,Regular,513,346
2024-07-04,Thursday,Dinner,Parotta,472,0,0,Regular,346,379
2024-07-05,Friday,Lunch,South Indian Meals,445,0,0,Regular,379,445
2024-07-06,Saturday,Dinner,Variety Rice,394,0,0,Regular,445,223
2024-07-07,Sunday,Dinner,Dosa,121,1,0,Regular,223,0
2024-07-08,Monday,Breakfast,Upma,545,0,0,Regular,0,296
2024-07-09,Tuesday,Dinner,Parotta,414,0,0,Regular,296,297
2024-07-10,Wednesday,Breakfast,Dosa,521,0,0,Regular,297,336
2024-07-11,Thursday,Breakfast,Pongal,546,0,0,Regular,336,323
2024-07-12,Friday,Lunch,South Indian Meals,575,0,0,Regular,323,484
2024-07-13,Saturday,Breakfast,Poori,335,0,0,Regular,484,177
2024-07-14,Sunday,Dinner,Idli,83,1,0,Regular,177,0
2024-07-15,Monday,Breakfast,Idli,451,0,0,Regular,0,265
2024-07-16,Tuesday,Dinner,Dosa,578,0,0,Regular,265,398
2024-07-17,Wednesday,Breakfast,Idli,432,0,0,Regular,398,268
2024-07-18,Thursday,Dinner,Dosa,359,1,0,Regular,268,241
2024-07-19,Friday,Dinner,Variety Rice,500,0,0,Regular,241,353
2024-07-20,Saturday,Breakfast,Upma,379,0,0,Regular,353,156
2024-07-21,Sunday,Breakfast,Dosa,101,1,0,Regular,156,0
2024-07-22,Monday,Dinner,Dosa,552,0,0,Regular,0,337
2024-07-23,Tuesday,Dinner,Chapati,496,0,1,Regular,337,407
2024-07-24,Wednesday,Breakfast,Pongal,490,0,1,Regular,407,330
2024-07-25,Thursday,Dinner,Idli,565,0,0,Regular,330,398
2024-07-26,Friday,Lunch,South Indian Meals,546,0,0,Regular,398,468
2024-07-27,Saturday,Dinner,Dosa,253,0,0,Regular,468,156
2024-07-28,Sunday,Lunch,South Indian Meals,113,1,0,Regular,156,23
2024-07-29,Monday,Breakfast,Dosa,565,0,0,Regular,23,314
2024-07-30,Tuesday,Breakfast,Pongal,509,0,0,Regular,314,303
2024-07-31,Wednesday,Breakfast,Idli,549,0,1,Regular,303,373
2024-08-01,Thursday,Dinner,Chapati,538,0,0,Regular,373,423
2024-08-02,Friday,Lunch,Special Meals,574,0,0,Regular,423,509
2024-08-03,Saturday,Dinner,Parotta,304,0,0,Regular,509,239
2024-08-04,Sunday,Breakfast,Idli,48,1,0,Regular,239,0
2024-08-05,Monday,Dinner,Idli,508,0,0,Regular,0,339
2024-08-06,Tuesday,Lunch,Biryani,409,0,0,Regular,339,398
2024-08-07,Wednesday,Breakfast,Poori,557,0,0,Regular,398,367
2024-08-08,Thursday,Lunch,Special Meals,483,0,0,Regular,367,480
2024-08-09,Friday,Dinner,Idli,472,0,0,Regular,480,344
2024-08-10,Saturday,Lunch,Variety Rice,292,0,0,Regular,344,206
2024-08-11,Sunday,Lunch,Chapati,61,1,0,Regular,206,0
2024-08-12,Monday,Lunch,Chapati,536,0,0,Regular,0,393
2024-08-13,Tuesday,Lunch,Chapati,440,0,0,Regular,393,366
2024-08-14,Wednesday,Breakfast,Poori,401,0,0,Regular,366,301
2024-08-15,Thursday,Dinner,Parotta,474,0,0,Regular,301,321
2024-08-16,Friday,Breakfast,Dosa,474,0,0,Regular,321,359
2024-08-17,Saturday,Dinner,Parotta,287,0,0,Regular,359,194
2024-08-18,Sunday,Dinner,Dosa,109,1,1,Regular,194,0
2024-08-19,Monday,Breakfast,Poori,358,1,0,Regular,0,157
2024-08-20,Tuesday,Lunch,Variety Rice,418,1,0,Regular,157,299
2024-08-21,Wednesday,Breakfast,Upma,454,0,0,Regular,299,270
2024-08-22,Thursday,Breakfast,Idli,530,0,0,Regular,270,344
2024-08-23,Friday,Lunch,Chapati,469,0,0,Regular,344,429
2024-08-24,Saturday,Dinner,Dosa,281,0,0,Regular,429,198
2024-08-25,Sunday,Dinner,Dosa,59,1,0,Regular,198,0
2024-08-26,Monday,Dinner,Chapati,531,0,0,Regular,0,323
2024-08-27,Tuesday,Breakfast,Poori,449,0,0,Regular,323,265
2024-08-28,Wednesday,Breakfast,Dosa,454,0,0,Regular,265,312
2024-08-29,Thursday,Breakfast,Poori,575,0,0,Regular,312,446
2024-08-30,Friday,Dinner,Idli,459,0,0,Regular,446,325
2024-08-31,Saturday,Lunch,Special Meals,255,0,0,Regular,325,231
2024-09-01,Sunday,Dinner,Dosa,89,1,0,Regular,231,0
2024-09-02,Monday,Breakfast,Upma,475,0,0,Regular,0,228
2024-09-03,Tuesday,Dinner,Idli,571,0,0,Regular,228,416
2024-09-04,Wednesday,Lunch,Special Meals,545,0,0,Regular,416,486
2024-09-05,Thursday,Lunch,Biryani,431,0,0,Regular,486,431
2024-09-06,Friday,Lunch,Chapati,556,0,0,Regular,431,511
2024-09-07,Saturday,Lunch,Special Meals,371,0,0,Regular,511,341
2024-09-08,Sunday,Breakfast,Poori,152,1,0,Regular,341,0
2024-09-09,Monday,Lunch,Variety Rice,521,0,0,Regular,0,433
2024-09-10,Tuesday,Dinner,Chapati,506,0,0,Regular,433,353
2024-09-11,Wednesday,Breakfast,Poori,580,0,0,Regular,353,389
2024-09-12,Thursday,Breakfast,Idli,452,0,0,Regular,389,260
2024-09-13,Friday,Breakfast,Poori,533,0,0,Regular,260,354
2024-09-14,Saturday,Lunch,Variety Rice,283,0,0,Regular,354,230
2024-09-15,Sunday,Lunch,South Indian Meals,70,1,0,Regular,230,0
2024-09-16,Monday,Dinner,Chapati,590,0,0,Regular,0,381
2024-09-17,Tuesday,Dinner,Parotta,517,0,1,Regular,381,407
2024-09-18,Wednesday,Dinner,Dosa,451,0,0,Regular,407,337
2024-09-19,Thursday,Breakfast,Dosa,574,0,0,Regular,337,408
2024-09-20,Friday,Breakfast,Dosa,572,0,0,Regular,408,432
2024-09-21,Saturday,Dinner,Variety Rice,331,0,1,Regular,432,251
2024-09-22,Sunday,Breakfast,Idli,61,1,0,Regular,251,0
2024-09-23,Monday,Dinner,Variety Rice,445,0,1,Regular,0,336
2024-09-24,Tuesday,Lunch,Variety Rice,535,0,0,Regular,336,452
2024-09-25,Wednesday,Lunch,Biryani,431,0,0,Regular,452,409
2024-09-26,Thursday,Breakfast,Poori,508,0,0,Regular,409,379
2024-09-27,Friday,Breakfast,Idli,500,0,0,Regular,379,391
2024-09-28,Saturday,Breakfast,Dosa,306,0,0,Regular,391,169
2024-09-29,Sunday,Lunch,South Indian Meals,60,1,0,Regular,169,0
2024-09-30,Monday,Lunch,Chapati,597,0,0,Regular,0,409
2024-10-01,Tuesday,Breakfast,Poori,573,0,0,Regular,409,396
2024-10-02,Wednesday,Lunch,Variety Rice,426,0,1,Regular,396,411
2024-10-03,Thursday,Lunch,Variety Rice,459,0,0,Regular,411,430
2024-10-04,Friday,Lunch,Special Meals,418,0,0,Regular,430,418
2024-10-05,Saturday,Breakfast,Dosa,288,0,0,Regular,418,142
2024-10-06,Sunday,Lunch,Variety Rice,70,1,0,Regular,142,1
2024-10-07,Monday,Breakfast,Pongal,538,0,0,Regular,1,316
2024-10-08,Tuesday,Dinner,Variety Rice,526,0,0,Regular,316,325
2024-10-09,Wednesday,Lunch,Biryani,537,0,0,Regular,325,466
2024-10-10,Thursday,Lunch,Chapati,426,0,0,Regular,466,378
2024-10-11,Friday,Lunch,South Indian Meals,598,0,0,Regular,378,564
2024-10-12,Saturday,Breakfast,Dosa,368,0,0,Regular,564,269
2024-10-13,Sunday,Dinner,Variety Rice,84,1,0,Regular,269,0
2024-10-14,Monday,Lunch,Special Meals,510,0,0,Regular,0,402
2024-10-15,Tuesday,Dinner,Idli,469,0,0,Regular,402,306
2024-10-16,Wednesday,Dinner,Variety Rice,431,0,0,Regular,306,307
2024-10-17,Thursday,Breakfast,Poori,516,0,0,Regular,307,321
2024-10-18,Friday,Breakfast,Pongal,578,0,0,Regular,321,316
2024-10-19,Saturday,Lunch,Biryani,386,0,0,Regular,316,328
2024-10-20,Sunday,Lunch,South Indian Meals,68,1,0,Regular,328,35
2024-10-21,Monday,Breakfast,Idli,530,0,0,Regular,35,277
2024-10-22,Tuesday,Lunch,Special Meals,596,0,0,Regular,277,472
2024-10-23,Wednesday,Dinner,Idli,581,0,0,Regular,472,441
2024-10-24,Thursday,Lunch,Special Meals,494,0,0,Regular,441,451
2024-10-25,Friday,Lunch,South Indian Meals,554,0,0,Regular,451,549
2024-10-26,Saturday,Dinner,Variety Rice,363,0,0,Regular,549,216
2024-10-27,Sunday,Breakfast,Pongal,115,1,0,Regular,216,0
2024-10-28,Monday,Dinner,Chapati,554,0,0,Regular,0,322
2024-10-29,Tuesday,Breakfast,Upma,585,0,0,Regular,322,398
2024-10-30,Wednesday,Breakfast,Dosa,536,0,0,Regular,398,402
2024-10-31,Thursday,Breakfast,Idli,553,0,0,Regular,402,367
2024-11-01,Friday,Dinner,Parotta,408,0,0,Exam Period,367,292
2024-11-02,Saturday,Dinner,Chapati,412,0,0,Exam Period,292,244
2024-11-03,Sunday,Lunch,Biryani,195,1,0,Exam Period,244,86
2024-11-04,Monday,Breakfast,Pongal,410,0,0,Exam Period,86,241
2024-11-05,Tuesday,Breakfast,Upma,336,0,0,Exam Period,241,178
2024-11-06,Wednesday,Dinner,Parotta,422,0,0,Exam Period,178,259
2024-11-07,Thursday,Lunch,Chapati,402,0,1,Exam Period,259,358
2024-11-08,Friday,Lunch,Chapati,307,0,0,Exam Period,358,307
2024-11-09,Saturday,Lunch,Biryani,199,1,0,Exam Period,307,177
2024-11-10,Sunday,Lunch,South Indian Meals,212,1,0,Exam Period,177,94
2024-11-11,Monday,Dinner,Dosa,407,0,0,Exam Period,94,239
2024-11-12,Tuesday,Lunch,Biryani,395,0,0,Exam Period,239,332
2024-11-13,Wednesday,Dinner,Chapati,327,0,0,Exam Period,332,223
2024-11-14,Thursday,Lunch,Chapati,405,0,0,Exam Period,223,299
2024-11-15,Friday,Dinner,Chapati,327,0,0,Exam Period,299,212
2024-11-16,Saturday,Breakfast,Idli,258,1,0,Exam Period,212,84
2024-11-17,Sunday,Breakfast,Dosa,222,1,0,Exam Period,84,4
2024-11-18,Monday,Dinner,Chapati,338,0,0,Exam Period,4,192
2024-11-19,Tuesday,Lunch,Special Meals,426,0,0,Exam Period,192,313
2024-11-20,Wednesday,Dinner,Idli,440,0,0,Exam Period,313,270
2024-11-21,Thursday,Breakfast,Upma,267,0,0,Exam Period,270,141
2024-11-22,Friday,Lunch,South Indian Meals,342,0,0,Exam Period,141,280
2024-11-23,Saturday,Dinner,Parotta,311,0,0,Exam Period,280,188
2024-11-24,Sunday,Dinner,Variety Rice,354,1,0,Exam Period,188,109
2024-11-25,Monday,Breakfast,Upma,448,0,0,Exam Period,109,262
2024-11-26,Tuesday,Breakfast,Poori,431,0,0,Exam Period,262,259
2024-11-27,Wednesday,Breakfast,Dosa,448,0,0,Exam Period,259,304
2024-11-28,Thursday,Lunch,Chapati,318,0,0,Exam Period,304,314
2024-11-29,Friday,Lunch,Variety Rice,273,0,0,Exam Period,314,273
2024-11-30,Saturday,Lunch,South Indian Meals,436,0,0,Exam Period,273,300
2024-12-01,Sunday,Lunch,Variety Rice,47,1,0,Regular,300,2
2024-12-02,Monday,Breakfast,Poori,444,0,0,Regular,2,258
2024-12-03,Tuesday,Breakfast,Upma,456,0,0,Regular,258,250
2024-12-04,Wednesday,Lunch,Biryani,431,0,0,Regular,250,431
2024-12-05,Thursday,Breakfast,Poori,503,0,0,Regular,431,385
2024-12-06,Friday,Lunch,Variety Rice,472,0,0,Regular,385,446
2024-12-07,Saturday,Dinner,Variety Rice,315,0,0,Regular,446,185
2024-12-08,Sunday,Breakfast,Poori,75,1,0,Regular,185,0
2024-12-09,Monday,Lunch,Biryani,493,0,0,Regular,0,399
2024-12-10,Tuesday,Dinner,Dosa,600,0,0,Regular,399,483
2024-12-11,Wednesday,Breakfast,Idli,441,0,0,Regular,483,273
2024-12-12,Thursday,Lunch,Variety Rice,455,0,0,Regular,273,367
2024-12-13,Friday,Lunch,Biryani,481,0,0,Regular,367,470
2024-12-14,Saturday,Dinner,Parotta,384,0,0,Regular,470,300
2024-12-15,Sunday,Dinner,Parotta,125,1,0,Regular,300,11
2024-12-16,Monday,Dinner,Dosa,442,1,0,Regular,11,242
2024-12-17,Tuesday,Dinner,Dosa,406,0,1,Regular,242,349
2024-12-18,Wednesday,Dinner,Parotta,581,0,1,Regular,349,496
2024-12-19,Thursday,Breakfast,Dosa,405,0,0,Regular,496,309
2024-12-20,Friday,Breakfast,Dosa,321,1,0,Regular,309,194
2024-12-21,Saturday,Dinner,Dosa,262,0,0,Regular,194,156
2024-12-22,Sunday,Dinner,Dosa,86,1,0,Regular,156,0
2024-12-23,Monday,Breakfast,Poori,493,0,0,Regular,0,314
2024-12-24,Tuesday,Breakfast,Pongal,426,0,0,Regular,314,251
2024-12-25,Wednesday,Breakfast,Pongal,516,0,0,Regular,251,338
2024-12-26,Thursday,Breakfast,Dosa,593,0,0,Regular,338,352
2024-12-27,Friday,Dinner,Dosa,323,1,1,Regular,352,302
2024-12-28,Saturday,Lunch,Biryani,364,0,1,Regular,302,327
2024-12-29,Sunday,Lunch,Special Meals,90,1,0,Regular,327,69
2024-12-30,Monday,Breakfast,Poori,525,0,0,Regular,69,345
2024-12-31,Tuesday,Breakfast,Idli,534,0,0,Regular,345,390
2025-01-01,Wednesday,Lunch,Chapati,428,0,0,Regular,390,390
2025-01-02,Thursday,Lunch,Biryani,554,0,0,Regular,390,502
2025-01-03,Friday,Lunch,Biryani,504,0,0,Regular,502,504
2025-01-04,Saturday,Lunch,South Indian Meals,398,0,0,Regular,504,356
